"Periods";"Population by sex/Total population (number)";"Population by sex/Males (number)";"Population by sex/Females (number)";"Population by age/Demographic pressure/Total demographic pressure (%)";"Population by age/Demographic pressure/Green pressure (%)";"Population by age/Demographic pressure/Grey pressure (%)";"Population by age/Average age/Total population (year)";"Population by age/Average age/Males (year)";"Population by age/Average age/Females (year)";"Population by migration background/Persons with a migration background/Total with migration background/With migration background (number)";"Population by migration background/Persons with a migration background/Total with migration background/With migration background, rate (%)";"Private households/Total private households (x 1,000)";"Population growth/Total population growth (number)";"Population growth/Total population growth, rate (o/oo)";"Population growth/Natural increase, rate (o/oo)";"Population growth/Net migration including administrativ... (number)";"Population growth/Net migration (including admin..), rate (o/oo)";"Population density (number)"
"1950";"10026773";" 4998251";" 5028522";"    81.9";"    67.9";"    14.0";"    30.8";"    30.3";"    31.3";"       .";"       .";"    2535";"  173507";"    17.3";"    15.2";"   19905";"     2.0";"     309"
"1951";"10200280";" 5083759";" 5116521";"    82.1";"    68.0";"    14.2";"    30.8";"    30.3";"    31.4";"       .";"       .";"    2600";"  128063";"    12.6";"    14.7";"  -22433";"    -2.2";"     315"
"1952";"10328343";" 5145772";" 5182571";"    82.6";"    68.1";"    14.5";"    31.0";"    30.4";"    31.5";"       .";"       .";"    2658";"  107288";"    10.4";"    15.0";"  -47681";"    -4.6";"     319"
"1953";"10435631";" 5198033";" 5237598";"    83.2";"    68.4";"    14.8";"    31.1";"    30.5";"    31.6";"       .";"       .";"    2716";"  115106";"    11.0";"    14.0";"  -31631";"    -3.0";"     322"
"1954";"10550737";" 5256108";" 5294629";"    83.9";"    68.8";"    15.1";"    31.2";"    30.6";"    31.7";"       .";"       .";"    2794";"  129286";"    12.3";"    14.0";"  -18950";"    -1.8";"     325"
"1955";"10680023";" 5320759";" 5359264";"    84.5";"    69.1";"    15.4";"    31.3";"    30.7";"    31.9";"       .";"       .";"    2848";"  141638";"    13.3";"    13.7";"   -5198";"    -0.5";"     329"
"1956";"10821661";" 5390751";" 5430910";"    85.1";"    69.5";"    15.6";"    31.4";"    30.8";"    32.0";"       .";"       .";"    2907";"  135379";"    12.5";"    13.5";"  -10981";"    -1.0";"     333"
"1957";"10957040";" 5459578";" 5497462";"    85.8";"    69.9";"    15.9";"    31.5";"    30.9";"    32.1";"       .";"       .";"    2982";"  138686";"    12.7";"    13.7";"  -12501";"    -1.1";"     338"
"1958";"11095726";" 5529065";" 5566661";"    86.6";"    70.4";"    16.1";"    31.6";"    30.9";"    32.2";"       .";"       .";"    3058";"  182298";"    16.4";"    13.6";"   12096";"     1.1";"     342"
"1959";"11278024";" 5618540";" 5659484";"    87.5";"    71.0";"    16.5";"    31.6";"    31.0";"    32.3";"       .";"       .";"    3126";"  139230";"    12.3";"    13.8";"  -16891";"    -1.5";"     347"
"1960";"11417254";" 5686152";" 5731102";"    88.2";"    71.4";"    16.8";"    31.7";"    31.1";"    32.4";"       .";"       .";"    3171";"  138754";"    12.2";"    13.2";"  -12819";"    -1.1";"     352"
"1961";"11556008";" 5754229";" 5801779";"    88.8";"    71.7";"    17.1";"    31.8";"    31.1";"    32.5";"       .";"       .";"    3231";"  165408";"    14.3";"    13.7";"    6412";"     0.6";"     344"
"1962";"11721416";" 5838368";" 5883048";"    89.7";"    72.2";"    17.5";"    31.9";"    31.2";"    32.6";"       .";"       .";"    3286";"  168546";"    14.4";"    12.9";"   16953";"     1.4";"     349"
"1963";"11889962";" 5923811";" 5966151";"    90.2";"    72.5";"    17.7";"    31.9";"    31.2";"    32.6";"       .";"       .";"    3342";"  152008";"    12.8";"    12.9";"    8436";"     0.7";"     355"
"1964";"12041970";" 6001376";" 6040594";"    90.4";"    72.5";"    17.9";"    32.0";"    31.2";"    32.7";"       .";"       .";"    3419";"  170299";"    14.1";"    13.0";"   13660";"     1.1";"     360"
"1965";"12212269";" 6090529";" 6121740";"    90.3";"    72.2";"    18.1";"    32.0";"    31.3";"    32.8";"       .";"       .";"    3508";"  164925";"    13.5";"    12.0";"   18764";"     1.5";"     365"
"1966";"12377194";" 6178283";" 6198911";"    90.4";"    72.1";"    18.3";"    32.1";"    31.3";"    32.9";"       .";"       .";"    3602";"  158113";"    12.8";"    11.2";"   19950";"     1.6";"     370"
"1967";"12535307";" 6262052";" 6273255";"    88.3";"    70.0";"    18.3";"    32.2";"    31.4";"    33.0";"       .";"       .";"    3698";"  125788";"    10.0";"    11.0";"  -11508";"    -0.9";"     375"
"1968";"12661095";" 6317025";" 6344070";"    87.1";"    68.6";"    18.5";"    32.3";"    31.5";"    33.2";"       .";"       .";"    3790";"  137251";"    10.8";"    10.4";"    6007";"     0.5";"     379"
"1969";"12798346";" 6382960";" 6415386";"    86.0";"    67.4";"    18.6";"    32.4";"    31.5";"    33.3";"       .";"       .";"    3890";"  159275";"    12.4";"    10.9";"   20183";"     1.6";"     379"
"1970";"12957621";" 6465081";" 6492540";"    85.4";"    66.6";"    18.8";"    32.5";"    31.6";"    33.4";"       .";"       .";"    3986";"  161809";"    12.5";"     9.9";"   33454";"     2.6";"     384"
"1971";"13119430";" 6549696";" 6569734";"    84.8";"    65.9";"    18.9";"    32.6";"    31.6";"    33.5";"       .";"       .";"    4094";"  150133";"    11.4";"     8.9";"   33014";"     2.5";"     389"
"1972";"13269563";" 6624210";" 6645353";"    84.1";"    65.1";"    19.0";"    32.7";"    31.7";"    33.6";"       .";"       .";"    4211";"  118060";"     8.9";"     7.5";"   19129";"     1.4";"     394"
"1973";"13387623";" 6675531";" 6712092";"    83.4";"    64.3";"    19.1";"    32.8";"    31.8";"    33.8";"       .";"       .";"    4337";"  103397";"     7.7";"     6.3";"   21068";"     1.6";"     396"
"1974";"13491020";" 6722096";" 6768924";"    82.5";"    63.2";"    19.3";"    33.0";"    32.0";"    34.0";"       .";"       .";"    4454";"  108072";"     8.0";"     5.7";"   33141";"     2.4";"     399"
"1975";"13599092";" 6771613";" 6827479";"    81.5";"    62.0";"    19.5";"    33.2";"    32.2";"    34.3";"       .";"       .";"    4561";"  134486";"     9.9";"     4.7";"   72055";"     5.3";"     402"
"1976";"13733578";" 6836875";" 6896703";"    80.2";"    60.7";"    19.6";"    33.5";"    32.4";"    34.5";"       .";"       .";"    4660";"   80917";"     5.9";"     4.5";"   21423";"     1.6";"     406"
"1977";"13814495";" 6871547";" 6942948";"    78.9";"    59.3";"    19.6";"    33.7";"    32.6";"    34.8";"       .";"       .";"    4752";"   83379";"     6.0";"     4.6";"   20344";"     1.5";"     409"
"1978";"13897874";" 6907216";" 6990658";"    77.7";"    57.9";"    19.8";"    34.0";"    32.8";"    35.1";"       .";"       .";"    4839";"   87652";"     6.3";"     4.4";"   26605";"     1.9";"     411"
"1979";"13985526";" 6945442";" 7040084";"    76.5";"    56.5";"    19.9";"    34.2";"    33.0";"    35.3";"       .";"       .";"    4911";"  105488";"     7.5";"     4.4";"   43036";"     3.1";"     413"
"1980";"14091014";" 6994280";" 7096734";"    75.2";"    55.1";"    20.1";"    34.4";"    33.2";"    35.6";"       .";"       .";"    5006";"  117572";"     8.3";"     4.7";"   50556";"     3.6";"     415"
"1981";"14208586";" 7048474";" 7160112";"    73.9";"    53.8";"    20.1";"    34.6";"    33.4";"    35.8";"       .";"       .";"    5103";"   77243";"     5.4";"     4.4";"   14369";"     1.0";"     419"
"1982";"14285829";" 7081566";" 7204263";"    72.4";"    52.3";"    20.1";"    34.9";"    33.6";"    36.1";"       .";"       .";"    5239";"   53722";"     3.8";"     3.8";"   -1284";"    -0.1";"     421"
"1983";"14339551";" 7102598";" 7236953";"    70.7";"    50.6";"    20.1";"    35.1";"    33.9";"    36.3";"       .";"       .";"    5367";"   55038";"     3.8";"     3.7";"    2331";"     0.2";"     423"
"1984";"14394589";" 7124152";" 7270437";"    69.0";"    48.9";"    20.1";"    35.4";"    34.1";"    36.6";"       .";"       .";"    5494";"   59244";"     4.1";"     3.8";"    5133";"     0.4";"     424"
"1985";"14453833";" 7149620";" 7304213";"    67.3";"    47.3";"    20.0";"    35.6";"    34.4";"    36.9";"       .";"       .";"    5613";"   75597";"     5.2";"     3.8";"   19887";"     1.4";"     426"
"1986";"14529430";" 7184538";" 7344892";"    66.2";"    46.0";"    20.2";"    35.9";"    34.6";"    37.1";"       .";"       .";"    5711";"   85695";"     5.9";"     4.1";"   26780";"     1.8";"     428"
"1987";"14615125";" 7224323";" 7390802";"    65.3";"    44.9";"    20.4";"    36.1";"    34.8";"    37.3";"       .";"       .";"    5814";"   99823";"     6.8";"     4.4";"   35091";"     2.4";"     431"
"1988";"14714948";" 7273611";" 7441337";"    64.4";"    43.8";"    20.6";"    36.2";"    34.9";"    37.5";"       .";"       .";"    5837";"   90292";"     6.1";"     4.2";"   27242";"     1.8";"     434"
"1989";"14805240";" 7316590";" 7488650";"    63.5";"    42.8";"    20.7";"    36.4";"    35.1";"    37.7";"       .";"       .";"    5938";"   87334";"     5.9";"     4.0";"   26851";"     1.8";"     436"
"1990";"14892574";" 7358482";" 7534092";"    62.5";"    41.7";"    20.8";"    36.6";"    35.3";"    37.9";"       .";"       .";"    6061";"  117871";"     7.9";"     4.6";"   48411";"     3.2";"     439"
"1991";"15010445";" 7419501";" 7590944";"    61.6";"    40.8";"    20.8";"    36.8";"    35.4";"    38.1";"       .";"       .";"    6164";"  118705";"     7.9";"     4.6";"   49610";"     3.3";"     442"
"1992";"15129150";" 7480422";" 7648728";"    60.8";"    40.0";"    20.8";"    36.9";"    35.6";"    38.2";"       .";"       .";"    6266";"  110032";"     7.3";"     4.4";"   43118";"     2.8";"     446"
"1993";"15239182";" 7535268";" 7703914";"    60.3";"    39.4";"    20.9";"    37.1";"    35.8";"    38.4";"       .";"       .";"    6368";"  102371";"     6.7";"     3.8";"   44366";"     2.9";"     449"
"1994";"15341553";" 7585887";" 7755666";"    60.1";"    39.1";"    21.0";"    37.2";"    35.9";"    38.5";"       .";"       .";"    6445";"   82569";"     5.4";"     4.0";"   20083";"     1.3";"     452"
"1995";"15424122";" 7627482";" 7796640";"    60.2";"    39.0";"    21.1";"    37.4";"    36.1";"    38.6";"       .";"       .";"    6469";"   69767";"     4.5";"     3.5";"   13904";"     0.9";"     455"
"1996";"15493889";" 7662289";" 7831600";"    60.4";"    39.0";"    21.3";"    37.6";"    36.3";"    38.8";" 2498715";"    16.1";"    6518";"   73218";"     4.7";"     3.3";"   16804";"     1.1";"     457"
"1997";"15567107";" 7696803";" 7870304";"    60.6";"    39.1";"    21.5";"    37.7";"    36.5";"    39.0";" 2554289";"    16.4";"    6581";"   87085";"     5.6";"     3.6";"   27887";"     1.8";"     459"
"1998";"15654192";" 7740074";" 7914118";"    60.8";"    39.1";"    21.7";"    37.9";"    36.6";"    39.1";" 2620400";"    16.7";"    6656";"  106033";"     6.8";"     3.9";"   43118";"     2.7";"     462"
"1999";"15760225";" 7793271";" 7966954";"    61.0";"    39.2";"    21.8";"    38.0";"    36.8";"    39.2";" 2699234";"    17.1";"    6745";"  103725";"     6.6";"     3.8";"   40372";"     2.6";"     465"
"2000";"15863950";" 7846317";" 8017633";"    61.2";"    39.4";"    21.9";"    38.2";"    37.0";"    39.4";" 2775302";"    17.5";"    6801";"  123125";"     7.8";"     4.2";"   53873";"     3.4";"     468"
"2001";"15987075";" 7909855";" 8077220";"    61.4";"    39.5";"    22.0";"    38.3";"    37.1";"    39.5";" 2870224";"    18.0";"    6867";"  118210";"     7.4";"     3.9";"   50838";"     3.2";"     472"
"2002";"16105285";" 7971967";" 8133318";"    61.6";"    39.5";"    22.1";"    38.4";"    37.3";"    39.6";" 2964949";"    18.4";"    6934";"   87287";"     5.4";"     3.7";"   24332";"     1.5";"     475"
"2003";"16192572";" 8015471";" 8177101";"    61.9";"    39.7";"    22.2";"    38.6";"    37.4";"    39.7";" 3038758";"    18.8";"    6996";"   65460";"     4.0";"     3.6";"    -317";"     0.0";"     479"
"2004";"16258032";" 8045914";" 8212118";"    62.3";"    39.8";"    22.5";"    38.7";"    37.6";"    39.8";" 3088152";"    19.0";"    7049";"   47494";"     2.9";"     3.5";"  -16216";"    -1.0";"     481"
"2005";"16305526";" 8065979";" 8239547";"    62.6";"    39.8";"    22.8";"    39.0";"    37.9";"    40.0";" 3122717";"    19.2";"    7091";"   28684";"     1.8";"     3.2";"  -27428";"    -1.7";"     483"
"2006";"16334210";" 8077407";" 8256803";"    62.9";"    39.6";"    23.2";"    39.2";"    38.1";"    40.3";" 3147615";"    19.3";"    7146";"   23782";"     1.5";"     3.0";"  -31320";"    -1.9";"     483"
"2007";"16357992";" 8088514";" 8269478";"    63.0";"    39.4";"    23.6";"    39.5";"    38.4";"    40.5";" 3170406";"    19.4";"    7191";"   47407";"     2.9";"     2.9";"   -5757";"    -0.4";"     484"
"2008";"16405399";" 8112073";" 8293326";"    63.2";"    39.2";"    24.0";"    39.7";"    38.7";"    40.7";" 3215416";"    19.6";"    7242";"   80388";"     4.9";"     3.0";"   25737";"     1.6";"     486"
"2009";"16485787";" 8156396";" 8329391";"    63.5";"    39.0";"    24.5";"    39.9";"    38.9";"    40.9";" 3287706";"    19.9";"    7313";"   89202";"     5.4";"     3.1";"   34481";"     2.1";"     489"
"2010";"16574989";" 8203476";" 8371513";"    64.0";"    38.9";"    25.1";"    40.1";"    39.1";"    41.1";" 3359603";"    20.3";"    7386";"   80810";"     4.9";"     2.9";"   33081";"     2.0";"     491"
"2011";"16655799";" 8243482";" 8412317";"    64.1";"    38.6";"    25.6";"    40.3";"    39.4";"    41.3";" 3427019";"    20.6";"    7444";"   74549";"     4.5";"     2.7";"   29768";"     1.8";"     494"
"2012";"16730348";" 8282871";" 8447477";"    65.3";"    38.5";"    26.8";"    40.6";"    39.6";"    41.5";" 3494193";"    20.9";"    7513";"   49227";"     2.9";"     2.1";"   13883";"     0.8";"     496"
"2013";"16779575";" 8307339";" 8472236";"    66.4";"    38.4";"    28.0";"    40.8";"    39.9";"    41.7";" 3543081";"    21.1";"    7569";"   49714";"     3.0";"     1.8";"   19103";"     1.1";"     498"
"2014";"16829289";" 8334385";" 8494904";"    67.2";"    38.2";"    29.0";"    41.0";"    40.1";"    41.9";" 3594744";"    21.4";"    7590";"   71437";"     4.2";"     2.1";"   35087";"     2.1";"     500"
"2015";"16900726";" 8372858";" 8527868";"    67.9";"    38.0";"    29.9";"    41.3";"    40.4";"    42.1";" 3665321";"    21.7";"    7665";"   78394";"     4.6";"     1.4";"   55106";"     3.3";"     502"
"2016";"16979120";" 8417135";" 8561985";"    68.5";"    37.9";"    30.6";"    41.5";"    40.6";"    42.3";" 3752291";"    22.1";"    7721";"  102387";"     6.0";"     1.4";"   79194";"     4.7";"     504"
"2017";"17081507";" 8475102";" 8606405";"    69.0";"    37.8";"    31.3";"    41.6";"    40.7";"    42.5";" 3862753";"    22.6";"    7794";"   99577";"     5.8";"     1.1";"   80665";"     4.7";"     507"
"2018";"17181084";" 8527041";" 8654043";"    69.6";"    37.6";"    32.0";"    41.8";"    41.0";"    42.6";" 3971859";"    23.1";"    7858";"  101079";"     5.9";"     0.9";"   86371";"     5.0";"     510"
"2019";"17282163";" 8581086";" 8701077";"    69.8";"    37.3";"    32.6";"    42.0";"    41.2";"    42.8";" 4086138";"    23.6";"    7925";"  125422";"     7.3";"     1.0";"  108035";"     6.3";"     513"
"2020";"17407585";" 8648031";" 8759554";"    70.0";"    36.9";"    33.1";"    42.2";"    41.3";"    43.0";" 4220705";"    24.2";"    7998";"   67830";"     3.9";"     0.0";"   68359";"     3.9";"     517"
"2021";"17475415";" 8686536";" 8788879";"    70.1";"    36.4";"    33.7";"    42.3";"    41.5";"    43.1";" 4305908";"    24.6";"    8043";"  115257";"     6.6";"     0.5";"  107198";"     6.1";"     519"
"2022";"17590672";" 8745468";" 8845204";"    70.3";"    36.2";"    34.1";"    42.4";"    41.6";"    43.2";" 4438900";"    25.2";"    8139";"";"";"";"";"";"     522"
